SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,15685 Shady Ln,LOS GATOS,CA,95032,5295000,5,6.5,LOS GATOS,7743,89515,2019,1,684,417,Active,,,http://www.redfin.com/CA/Los-Gatos/15685-Shady-Ln-95032/home/104216098,MLSListings,ML81794126,N,Y,37.2330766,-121.9418448
MLS Listing,,Single Family Residential,16239 Jacaranda Way,LOS GATOS,CA,95032,2148000,5,2.0,LOS GATOS,2173,8548,1955,1,988,,Active,,,http://www.redfin.com/CA/Los-Gatos/16239-Jacaranda-Way-95032/home/1261780,MLSListings,ML81793410,N,Y,37.2379608,-121.954193
MLS Listing,,Single Family Residential,104 Bacigalupi Dr,LOS GATOS,CA,95032,1824000,5,3.0,LOS GATOS,2344,7773,1968,2,778,48,Active,,,http://www.redfin.com/CA/Los-Gatos/104-Bacigalupi-Dr-95032/home/930012,MLSListings,ML81793989,N,Y,37.2339141,-121.9134206
MLS Listing,,Townhouse,106 Willow Hill Ct,LOS GATOS,CA,95032,1245000,3,2.5,LOS GATOS,1574,2028,1973,2,791,497,Active,,,http://www.redfin.com/CA/Los-Gatos/106-Willow-Hill-Ct-95032/home/1710548,MLSListings,ML81793780,N,Y,37.255425,-121.9624528
MLS Listing,,Condo/Co-op,14225 Lora #81,LOS GATOS,CA,95032,625000,2,1.0,LOS GATOS,996,1020,1963,4,628,553,Active,,,http://www.redfin.com/CA/Los-Gatos/14225-Lora-Dr-95032/unit-81/home/830816,MLSListings,ML81792480,N,Y,37.2623657,-121.9771601
MLS Listing,,Single Family Residential,136 Potomac Dr,LOS GATOS,CA,95032,1750000,4,2.0,LOS GATOS,1389,7686,1960,5,1260,,Active,,,http://www.redfin.com/CA/Los-Gatos/136-Potomac-Dr-95032/home/837459,MLSListings,ML81793779,N,Y,37.2436556,-121.9551544
MLS Listing,,Single Family Residential,100 Smith Ranch Ct,LOS GATOS,CA,95032,1399888,2,2.0,LOS GATOS,1351,4277,2005,6,1036,85,Active,,,http://www.redfin.com/CA/Los-Gatos/100-Smith-Ranch-Ct-95032/home/559938,MLSListings,ML81793636,N,Y,37.2571175,-121.9654853
MLS Listing,,Townhouse,1637 Las Piedras Ct,LOS GATOS,CA,95032,1298000,3,2.5,LOS GATOS,1953,2034,1979,6,665,435,Active,,,http://www.redfin.com/CA/Los-Gatos/1637-Las-Piedras-Ct-95032/home/1383512,MLSListings,ML81793625,N,Y,37.2654349,-121.983947
MLS Listing,,Single Family Residential,15890 Shannon Rd,LOS GATOS,CA,95032,2299000,3,2.0,LOS GATOS,2136,25245,1942,6,1076,,Active,,,http://www.redfin.com/CA/Los-Gatos/15890-Shannon-Rd-95032/home/1421542,MLSListings,ML81793239,N,Y,37.2275266,-121.9477332
MLS Listing,,Single Family Residential,16025 Camino Del Cerro,LOS GATOS,CA,95032,2699000,4,3.0,LOS GATOS,2883,32011,1977,6,936,,Active,,,http://www.redfin.com/CA/Los-Gatos/16025-Camino-Del-Cerro-95032/home/1109942,MLSListings,ML81793526,N,Y,37.2358559,-121.9448668
MLS Listing,,Single Family Residential,504 Nino Ave,LOS GATOS,CA,95032,2350000,4,3.0,LOS GATOS,1965,8850,1966,7,1196,,Active,,,http://www.redfin.com/CA/Los-Gatos/504-Nino-Ave-95032/home/1534835,MLSListings,ML81793459,N,Y,37.2320681,-121.9695508
MLS Listing,,Townhouse,124 Charter Oaks Cir,LOS GATOS,CA,95032,1499000,3,2.5,LOS GATOS,1691,2023,1973,7,886,497,Active,,,http://www.redfin.com/CA/Los-Gatos/124-Charter-Oaks-Cir-95032/home/1816670,MLSListings,ML81793443,N,Y,37.253985,-121.964689
MLS Listing,,Multi-Family (2-4 Unit),916 Castlewood Dr,LOS GATOS,CA,95032,2369500,8,,LOS GATOS,3681,8539,1963,7,644,,Active,,,http://www.redfin.com/CA/Los-Gatos/916-Castlewood-Dr-95032/home/820809,MLSListings,ML81793369,N,Y,37.2623549,-121.9723277
MLS Listing,,Single Family Residential,17203 Deer Park Rd,LOS GATOS,CA,95032,7500000,5,6.0,LOS GATOS,5032,120225,2004,8,1490,,Active,,,http://www.redfin.com/CA/Los-Gatos/17203-Deer-Park-Rd-95032/home/740679,MLSListings,ML81793311,N,Y,37.219518,-121.924537
MLS Listing,,Condo/Co-op,14225 Lora Dr #103,LOS GATOS,CA,95032,589000,1,1.0,LOS GATOS,816,811,1963,8,722,490,Active,,,http://www.redfin.com/CA/Los-Gatos/14225-Lora-Dr-95032/unit-103/home/973424,MLSListings,ML81793197,N,Y,37.2623727,-121.9767088
PAST SALE,July-24-2012,Single Family Residential,16180 Jasmine Way,LOS GATOS,CA,95032,2800000,3,2.5,LOS GATOS,2571,10380,1956,10,1089,,Pending,,,http://www.redfin.com/CA/Los-Gatos/16180-Jasmine-Way-95032/home/1570328,MLSListings,ML81791222,N,Y,37.2372683,-121.9519993
PAST SALE,December-12-2012,Single Family Residential,15730 El Gato Ln,LOS GATOS,CA,95032,1999888,4,2.0,LOS GATOS,1985,8156,2010,10,1008,,Pending,,,http://www.redfin.com/CA/Los-Gatos/15730-El-Gato-Ln-95032/home/1090957,MLSListings,ML81791125,N,Y,37.2402587,-121.9475555
MLS Listing,,Single Family Residential,100 Del Carlo Ct,LOS GATOS,CA,95032,2795000,4,2.5,LOS GATOS,2442,9651,1999,15,1145,,Active,,,http://www.redfin.com/CA/Los-Gatos/100-Del-Carlo-Ct-95032/home/909734,MLSListings,ML81792352,N,Y,37.2315862,-121.9548211
PAST SALE,October-14-2005,Townhouse,118 El Olivar,LOS GATOS,CA,95032,1350000,3,2.5,LOS GATOS,1637,3306,1974,16,825,513,Pending,,,http://www.redfin.com/CA/Los-Gatos/118-El-Olivar-95032/home/820147,MLSListings,ML81792264,N,Y,37.262729,-121.988451
PAST SALE,,Single Family Residential,16161 Azalea Way,LOS GATOS,CA,95032,2185000,5,2.5,LOS GATOS,2166,9041,1955,17,1009,,Pending,,,http://www.redfin.com/CA/Los-Gatos/16161-Azalea-Way-95032/home/1598147,MLSListings,ML81792072,N,Y,37.2406272,-121.952777
MLS Listing,,Single Family Residential,15068 Lynn Ave,LOS GATOS,CA,95032,2500000,4,3.0,LOS GATOS,3307,10553,2002,19,756,,Contingent,,,http://www.redfin.com/CA/Los-Gatos/15068-Lynn-Ave-95032/home/1387120,MLSListings,ML81790947,N,Y,37.2400179,-121.9325116
PAST SALE,April-20-2016,Single Family Residential,106 Gemini Ct,LOS GATOS,CA,95032,2198000,5,3.0,LOS GATOS,2921,8826,1977,19,752,,Pending,,,http://www.redfin.com/CA/Los-Gatos/106-Gemini-Ct-95032/home/1496934,MLSListings,ML81791986,N,Y,37.2346829,-121.912446
MLS Listing,,Single Family Residential,109 La Rinconada Dr,LOS GATOS,CA,95030,4900000,5,5.0,LOS GATOS,5172,11968,2004,19,947,,Active,,,http://www.redfin.com/CA/Los-Gatos/109-La-Rinconada-Dr-95030/home/1663819,MLSListings,ML81791075,N,Y,37.2515012,-121.9699113
PAST SALE,,Single Family Residential,125 Blossom Glen Way,LOS GATOS,CA,95032,1898000,3,2.5,LOS GATOS,1950,8323,1963,24,973,,Pending,,,http://www.redfin.com/CA/Los-Gatos/125-Blossom-Glen-Way-95032/home/601701,MLSListings,ML81791311,N,Y,37.2381496,-121.9442447
MLS Listing,,Single Family Residential,407 University Ave,LOS GATOS,CA,95032,1595000,2,1.0,LOS GATOS,784,6077,1928,26,2034,,Active,,,http://www.redfin.com/CA/Los-Gatos/407-University-Ave-95032/home/833388,MLSListings,ML81791099,N,Y,37.2286544,-121.9795884
MLS Listing,,Single Family Residential,215 Montclair Rd,LOS GATOS,CA,95032,2450000,4,2.5,LOS GATOS,2424,11404,1966,26,1011,,Active,,,http://www.redfin.com/CA/Los-Gatos/215-Montclair-Rd-95032/home/887640,MLSListings,ML81791022,N,Y,37.2545411,-121.989987
MLS Listing,,Single Family Residential,16552 Camellia Ter,LOS GATOS,CA,95032,1725000,3,1.0,LOS GATOS,2370,10209,1950,27,728,,Contingent,,,http://www.redfin.com/CA/Los-Gatos/16552-Camellia-Ter-95032/home/890000,MLSListings,ML81790913,N,Y,37.2395523,-121.9594202
MLS Listing,,Single Family Residential,110 Mill Rd,LOS GATOS,CA,95032,1699000,4,2.5,LOS GATOS,2184,2415,1999,27,778,250,Active,,,http://www.redfin.com/CA/Los-Gatos/110-Mill-Rd-95032/home/1309137,MLSListings,ML81790846,N,Y,37.252024,-121.962649
PAST SALE,May-19-1995,Single Family Residential,108 Campanula Pl,LOS GATOS,CA,95032,2185000,4,2.5,LOS GATOS,2606,9120,1978,29,838,,Pending,,,http://www.redfin.com/CA/Los-Gatos/108-Campanula-Pl-95032/home/1129609,MLSListings,ML81790659,N,Y,37.2469181,-121.9481776
PAST SALE,July-6-2004,Single Family Residential,16386 W La Chiquita Ave,Los Gatos,CA,95032,2497900,4,3.0,Kennedy Glen,2530,10050,1997,33,987,,Pending,,,http://www.redfin.com/CA/Los-Gatos/16386-W-La-Chiquita-Ave-95032/home/1187134,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40902593,N,Y,37.2301658,-121.9597979
MLS Listing,,Single Family Residential,16466 Bonnie Ln,LOS GATOS,CA,95032,6600000,3,3.0,LOS GATOS,2618,82100,2002,33,2521,,Active,,,http://www.redfin.com/CA/Los-Gatos/16466-Bonnie-Ln-95032/home/637940,MLSListings,ML81787997,N,Y,37.229193,-121.953372
MLS Listing,,Single Family Residential,228 Creekside Village Dr,LOS GATOS,CA,95032,1650000,3,2.5,LOS GATOS,1512,2824,2005,34,1091,200,Active,,,http://www.redfin.com/CA/Los-Gatos/228-Creekside-Village-Dr-95032/home/2124751,MLSListings,ML81790191,N,Y,37.228957,-121.975747
MLS Listing,,Single Family Residential,107 Drysdale Dr,LOS GATOS,CA,95032,4395000,6,5.5,LOS GATOS,5046,77553,2006,35,871,,Active,,,http://www.redfin.com/CA/Los-Gatos/107-Drysdale-Dr-95032/home/12177238,MLSListings,ML81790135,N,Y,37.2311179,-121.9461112
MLS Listing,,Single Family Residential,15573 Benedict Ln,LOS GATOS,CA,95032,1599000,3,2.0,LOS GATOS,1469,9375,1948,36,1088,,Contingent,,,http://www.redfin.com/CA/Los-Gatos/15573-Benedict-Ln-95032/home/837552,MLSListings,ML81789998,N,Y,37.242305,-121.9617752
MLS Listing,,Single Family Residential,15621 Flintridge Dr,LOS GATOS,CA,95032,1550000,3,2.0,LOS GATOS,1605,8320,1955,37,966,,Contingent,,,http://www.redfin.com/CA/Los-Gatos/15621-Flintridge-Dr-95032/home/839096,MLSListings,ML81789878,N,Y,37.2416853,-121.9654631
MLS Listing,,Single Family Residential,15129 Lester Ln,LOS GATOS,CA,95032,1989000,3,3.0,LOS GATOS,2228,12705,1952,37,893,,Contingent,,,http://www.redfin.com/CA/Los-Gatos/15129-Lester-Ln-95032/home/1831643,MLSListings,ML81789868,N,Y,37.2488197,-121.9545545
MLS Listing,,Single Family Residential,536 Roxbury Ln,LOS GATOS,CA,95032,1688000,4,2.5,LOS GATOS,1752,8125,1961,43,963,,Contingent,,,http://www.redfin.com/CA/Los-Gatos/536-Roxbury-Ln-95032/home/1282783,MLSListings,ML81789467,N,Y,37.260044,-121.9819463
